"type","crop","key","english","hindi_draft","source","needs_review","hindi_corrected","reviewer","notes"
"disease_name","sugarcane","Yellow_Leaf","Yellow Leaf","पीली पत्ती रोग","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","sugarcane","smut","smut","कंडुआ (स्मट)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","potato","Early_blight","Early blight","अगेती झुलसा","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","potato","Late_blight","Late blight","पछेती झुलसा","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","potato","healthy","healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","maize","Blight","Blight","पत्ती झुलसा","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","maize","Common_Rust","Common Rust","रतुआ (गेरुई)","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","maize","Gray_Leaf_Spot","Gray Leaf Spot","स्लेटी पत्ती धब्बा","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","maize","Healthy","Healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","pigeonpea","Healthy","Healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","pigeonpea","Leaf_Spot","Leaf Spot","पत्ती धब्बा","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","pigeonpea","Leaf_webber","Leaf webber","पत्ती लपेटक कीट","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","pigeonpea","Sterilic_mosaic","Sterilic mosaic","बाँझपन मोज़ेक","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","groundnut","Alternaria_Leaf_Spot","Alternaria Leaf Spot","आल्टरनेरिया पत्ती धब्बा","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","groundnut","Healthy","Healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","groundnut","Leaf_Spot","Leaf Spot","टिक्का रोग (पत्ती धब्बा)","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","groundnut","Nutrition_Deficiency","Nutrition Deficiency","पोषक तत्व की कमी","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","groundnut","Rosette","Rosette","रोज़ेट (गुच्छा) रोग","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","groundnut","Rust","Rust","रतुआ (गेरुई)","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","blackgram","Anthracnose","Anthracnose","एन्थ्रेक्नोज़","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","blackgram","Healthy","Healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","blackgram","Leaf_Crinkle","Leaf Crinkle","पत्ती मरोड़ (लीफ क्रिंकल)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","blackgram","Powdery_Mildew","Powdery Mildew","चूर्णिल आसिता (सफ़ेद चूर्ण)","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","blackgram","Yellow_Mosaic","Yellow Mosaic","पीला मोज़ेक","Common Hindi farming term; drafted by Claude (AI) from general knowledge on 2026-09-26, not checked against a publication","true","","",""
"disease_name","apple","Alternaria_Leaf_Blotch","Alternaria Leaf Blotch","आल्टरनेरिया पत्ती धब्बा","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","apple","Healthy","Healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","apple","Mosaic","Mosaic","मोज़ेक","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","banana","Bract_Mosaic_Virus","Bract Mosaic Virus","ब्रैक्ट मोज़ेक (विषाणु)","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","banana","Healthy","Healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","banana","Insect_Pest","Insect Pest","कीट से नुकसान","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"disease_name","banana","Moko_Wilt","Moko Wilt","मोको उकठा (जीवाणु)","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","banana","Panama_Wilt","Panama Wilt","पनामा उकठा","Common Hindi term plus the English name in brackets; drafted by Claude (AI) on 2026-09-26","true","","",""
"disease_name","banana","Pestalotiopsis_Leaf_Spot","Pestalotiopsis Leaf Spot","पेस्टालोटिओप्सिस पत्ती धब्बा","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"disease_name","banana","Sigatoka_Leaf_Spot","Sigatoka Leaf Spot","सिगाटोका पत्ती धब्बा","Transliteration of the English name; the drafter knows no widely used Hindi name","true","","",""
"severity_label","","healthy","healthy","स्वस्थ","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"severity_label","","early","early","शुरुआती","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"severity_label","","moderate","moderate","मध्यम","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"severity_label","","severe","severe","गंभीर","Descriptive Hindi phrase drafted by Claude (AI) on 2026-09-26; not a traditional name","true","","",""
"treatment_advice","wheat","BlackPoint","Black point discolors the grain's germ end, caused by a fungal complex active in humid grain-fill conditions. Use clean, certified seed and avoid keeping black-pointed grain for sowing. Avoid late irrigation and excess humidity during grain filling. If recurring, treat seed with a systemic fungicide and spray propiconazole or thiophanate-methyl at the grain-filling stage.","काला सिरा (ब्लैक पॉइंट) रोग में दाने का भ्रूण वाला सिरा काला पड़ जाता है। यह दाना भरने के समय नमी वाले मौसम में सक्रिय फफूंदों के समूह से होता है। साफ़, प्रमाणित बीज का प्रयोग करें और काले सिरे वाले दाने बुवाई के लिए न रखें। दाना भरने के समय देर से सिंचाई और अधिक नमी से बचें। रोग बार-बार आए तो बीज को किसी सर्वांगी (systemic) फफूंदनाशक से उपचारित करें और दाना भरने की अवस्था में propiconazole या thiophanate-methyl का छिड़काव करें।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","wheat","FusariumFootRot","Fusarium foot rot rots the crown and stem base, causing premature white heads and shrivelled grain. Rotate away from cereals for a season, deep-plough to bury infected stubble, and avoid moisture stress after flowering. Treat seed with carboxin+thiram (Vitavax Power) or a Trichoderma bioagent before sowing.","फ्यूज़ेरियम से जड़ व तने का आधार सड़ जाता है, जिससे बालियाँ समय से पहले सफ़ेद हो जाती हैं और दाने सिकुड़ जाते हैं। एक मौसम के लिए अनाज वाली फसल की जगह दूसरी फसल लें, संक्रमित ठूँठ दबाने के लिए गहरी जुताई करें, और फूल आने के बाद नमी की कमी न होने दें। बुवाई से पहले बीज को carboxin+thiram (Vitavax Power) या Trichoderma जैव-एजेंट से उपचारित करें।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","wheat","HealthyLeaf","Your wheat leaf appears healthy. No disease symptoms detected. Continue regular crop management practices such as balanced fertilization, timely irrigation, and routine field monitoring.","आपकी गेहूँ की पत्ती स्वस्थ दिख रही है। रोग के कोई लक्षण नहीं मिले। संतुलित खाद, समय पर सिंचाई और खेत की नियमित निगरानी जैसे सामान्य फसल प्रबंधन जारी रखें।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","wheat","LeafBlight","Leaf blight (spot blotch) causes brown oval spots that enlarge and blight the leaf, common in warm, humid conditions in eastern UP. Grow resistant varieties, use healthy seed, and ensure balanced nutrition. Treat seed with carboxin+thiram (2.5 g/kg), then spray propiconazole 0.1% or tebuconazole+trifloxystrobin at boot-leaf stage, repeating after ~20 days if needed.","पत्ती झुलसा (स्पॉट ब्लॉच) में भूरे अंडाकार धब्बे बनते हैं जो बढ़कर पत्ती को झुलसा देते हैं; यह पूर्वी उत्तर प्रदेश के गर्म, नम मौसम में आम है। रोगरोधी किस्में उगाएँ, स्वस्थ बीज का प्रयोग करें और संतुलित पोषण दें। बीज को carboxin+thiram (2.5 g/kg) से उपचारित करें, फिर बूट-लीफ अवस्था में propiconazole 0.1% या tebuconazole+trifloxystrobin का छिड़काव करें, और ज़रूरत हो तो लगभग 20 दिन बाद दोहराएँ।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","wheat","WheatBlast","Wheat blast is a fast-acting, potentially devastating disease that bleaches the spike and can cause total yield loss. Use certified disease-free seed, sow early to avoid warm humid conditions at heading, and avoid wheat-after-wheat. Tebuconazole or tebuconazole+trifloxystrobin sprayed at heading can help, but efficacy is limited — report suspected cases to your local agriculture department immediately, as this is a quarantine-significant disease.","गेहूँ का झोंका (ब्लास्ट) तेज़ी से फैलने वाला, बहुत विनाशकारी रोग है जो बाली को सफ़ेद कर देता है और पूरी उपज नष्ट कर सकता है। प्रमाणित रोगमुक्त बीज का प्रयोग करें, जल्दी बुवाई करें ताकि बाली निकलते समय गर्म-नम मौसम न रहे, और गेहूँ के बाद फिर गेहूँ न बोएँ। बाली निकलते समय tebuconazole या tebuconazole+trifloxystrobin का छिड़काव मदद कर सकता है, पर इसका असर सीमित है — संदिग्ध मामले की सूचना तुरंत अपने स्थानीय कृषि विभाग को दें, क्योंकि यह क्वारंटाइन-महत्व का रोग है।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","rice","Bacterialblight","Bacterial leaf blight causes yellow-to-white drying along leaf margins and can wilt young seedlings. Grow resistant varieties, avoid excess nitrogen, and ensure good drainage. Spray streptocycline with copper oxychloride 0.25% at first symptoms — ordinary fungicides will not work since this is a bacterial disease.","जीवाणु पत्ती झुलसा में पत्ती के किनारों से पीला-सफ़ेद सूखना शुरू होता है और छोटी पौध मुरझा सकती है। रोगरोधी किस्में उगाएँ, अधिक नाइट्रोजन न डालें और पानी की अच्छी निकासी रखें। पहले लक्षण दिखते ही streptocycline के साथ copper oxychloride 0.25% का छिड़काव करें — यह जीवाणु रोग है, इसलिए साधारण फफूंदनाशक काम नहीं करेंगे।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","rice","Blast","Rice blast causes spindle-shaped gray-centered spots on leaves and can rot the panicle neck, emptying grains. Grow resistant varieties, avoid excess nitrogen, and treat seed before sowing. Spray tricyclazole 75% WP (0.6 g/L) or a combination fungicide (azoxystrobin+difenoconazole, or tebuconazole+trifloxystrobin) at first leaf blast symptoms, repeating at heading to prevent neck blast.","धान का झोंका (ब्लास्ट) रोग पत्तियों पर तकली (धुरी) के आकार के, बीच में स्लेटी धब्बे बनाता है और बाली की गर्दन सड़ाकर दाने खाली कर सकता है। रोगरोधी किस्में उगाएँ, अधिक नाइट्रोजन न डालें और बुवाई से पहले बीज उपचार करें। पत्तियों पर झोंका के पहले लक्षण दिखते ही tricyclazole 75% WP (0.6 g/L) या मिश्रित फफूंदनाशक (azoxystrobin+difenoconazole, या tebuconazole+trifloxystrobin) का छिड़काव करें, और गर्दन झोंका रोकने के लिए बाली निकलते समय दोहराएँ।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","rice","Brownspot","Brown spot causes many small sesame-seed-like brown spots and is strongly linked to poor soil fertility, especially low potassium, and drought stress. Correct soil nutrition (especially potassium) and use healthy seed. Spray propiconazole 0.1% or mancozeb 75% WP (2 g/L) at first symptoms — fixing soil fertility is as important as spraying.","भूरा धब्बा रोग में तिल के दाने जैसे बहुत से छोटे भूरे धब्बे बनते हैं; इसका गहरा संबंध कमज़ोर मिट्टी, खासकर पोटाश की कमी, और सूखे के तनाव से है। मिट्टी का पोषण (विशेषकर पोटाश) ठीक करें और स्वस्थ बीज का प्रयोग करें। पहले लक्षण पर propiconazole 0.1% या mancozeb 75% WP (2 g/L) का छिड़काव करें — मिट्टी की उर्वरता सुधारना छिड़काव जितना ही ज़रूरी है।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","rice","Healthy","Your rice leaf appears healthy. No disease symptoms detected. Continue balanced nutrition (including potassium), proper water management, and routine field monitoring.","आपकी धान की पत्ती स्वस्थ दिख रही है। रोग के कोई लक्षण नहीं मिले। संतुलित पोषण (पोटाश सहित), सही जल प्रबंधन और खेत की नियमित निगरानी जारी रखें।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","rice","Tungro","Tungro is a virus spread by the green leafhopper, causing yellow-orange discoloration and stunting. There is no chemical cure — grow resistant varieties, plant in sync with neighbouring fields, and rogue out infected plants early. Control leafhopper populations with imidacloprid or thiamethoxam if numbers are high, though resistant varieties remain the real solution.","टुंगरो एक विषाणु (वायरस) रोग है जो हरे फुदके (ग्रीन लीफहॉपर) से फैलता है; इससे पत्तियाँ पीली-नारंगी हो जाती हैं और पौधे बौने रह जाते हैं। इसका कोई रासायनिक इलाज नहीं है — रोगरोधी किस्में उगाएँ, आसपास के खेतों के साथ एक ही समय पर रोपाई करें और संक्रमित पौधे जल्दी उखाड़ दें। फुदकों की संख्या अधिक हो तो imidacloprid या thiamethoxam से नियंत्रण करें, हालाँकि असली समाधान रोगरोधी किस्में ही हैं।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Banded_Chlorosis","Banded chlorosis is NOT caused by a pathogen — it's cold-injury damage to young unrolled leaves, appearing as pale bands. No fungicide is needed; the crop typically outgrows it. Avoid very early planting into cold spells and maintain good nutrition and irrigation to support recovery.","पट्टीदार पीलापन (बैंडेड क्लोरोसिस) किसी रोगाणु से नहीं होता — यह नई खुलती पत्तियों पर ठंड से हुई चोट है, जो फीकी पट्टियों के रूप में दिखती है। किसी फफूंदनाशक की ज़रूरत नहीं; फसल आमतौर पर बढ़ते हुए इससे उबर जाती है। ठंड के दौर में बहुत जल्दी बुवाई से बचें और अच्छे पोषण व सिंचाई से पौधों को उबरने में मदद करें।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","BrownRust","Brown rust produces reddish-brown pustules, mostly on the underside of leaves, reducing green leaf area. Grow resistant varieties, avoid dense planting, and maintain balanced phosphorus/potassium. Spray propiconazole 0.1% or a strobilurin fungicide at first appearance, with a second spray 3-4 weeks later if active — protection lasts only about 3-4 weeks, so timing matters.","भूरा रतुआ (गेरुई) में ज़्यादातर पत्तियों की निचली सतह पर लाल-भूरे फफोले बनते हैं, जिससे पत्ती का हरा भाग घटता है। रोगरोधी किस्में उगाएँ, बहुत घनी बुवाई न करें और फॉस्फोरस/पोटाश संतुलित रखें। पहली बार दिखते ही propiconazole 0.1% या किसी strobilurin फफूंदनाशक का छिड़काव करें, और रोग सक्रिय रहे तो 3-4 हफ़्ते बाद दूसरा छिड़काव करें — बचाव केवल लगभग 3-4 हफ़्ते चलता है, इसलिए समय पर छिड़काव ज़रूरी है।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Brown_Spot","Brown spot causes oval red-brown spots with a yellow halo on older leaves, worsening in humid conditions on susceptible varieties. Grow resistant varieties, detrash and destroy affected lower leaves, and ensure good airflow. Spray mancozeb 75% WP (2 g/L) or carbendazim (1 g/L), alternated with propiconazole, every ~15 days; foliar potassium silicate 0.5% has also given strong control.","भूरा धब्बा रोग में पुरानी पत्तियों पर पीले घेरे वाले अंडाकार लाल-भूरे धब्बे बनते हैं, जो नम मौसम में संवेदनशील किस्मों पर बढ़ जाते हैं। रोगरोधी किस्में उगाएँ, नीचे की रोगग्रस्त पत्तियाँ उतारकर नष्ट करें और हवा का अच्छा आवागमन रखें। mancozeb 75% WP (2 g/L) या carbendazim (1 g/L) का, propiconazole के साथ बारी-बारी से, लगभग हर 15 दिन पर छिड़काव करें; पत्तियों पर potassium silicate 0.5% के छिड़काव से भी अच्छा नियंत्रण मिला है।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Dried_Leaves","Dried leaves is a symptom, not a specific disease — first split a stalk to check for internal reddening or a sour smell (signs of red rot/wilt). If the stalk is healthy inside, treat as water/heat stress: irrigate adequately, detrash dried leaves, and maintain balanced nutrition. If red rot/wilt is confirmed, rogue and burn affected clumps, stop ratooning, and switch to resistant varieties.","पत्तियों का सूखना अपने आप में कोई खास रोग नहीं, एक लक्षण है — पहले एक गन्ना चीरकर देखें कि अंदर लाली या खट्टी गंध तो नहीं (लाल सड़न/उकठा के संकेत)। अगर गन्ना अंदर से स्वस्थ है तो इसे पानी/गर्मी का तनाव मानें: पर्याप्त सिंचाई करें, सूखी पत्तियाँ उतारें और संतुलित पोषण दें। अगर लाल सड़न/उकठा पक्का हो जाए तो प्रभावित थान उखाड़कर जला दें, पेड़ी (रैटून) न लें और रोगरोधी किस्मों पर जाएँ।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Grassy_shoot","Grassy shoot disease causes numerous thin, pale-yellow tillers giving a grassy appearance, spread through infected setts and leafhoppers. There is no direct chemical cure — use disease-free seed cane (ideally hot-water/aerated-steam treated), rogue affected clumps early, and control leafhopper vectors. Replacing infected seed with certified disease-free setts is the key step, especially before ratooning.","घासीय प्ररोह (ग्रासी शूट) रोग में बहुत सारे पतले, हल्के पीले कल्ले निकलते हैं जिससे थान घास जैसा दिखता है; यह संक्रमित बीज-टुकड़ों (सेट) और फुदकों से फैलता है। इसका सीधा रासायनिक इलाज नहीं है — रोगमुक्त बीज गन्ना (अच्छा हो कि गर्म पानी/गर्म नम हवा से उपचारित) प्रयोग करें, प्रभावित थान जल्दी उखाड़ें और फुदकों को नियंत्रित करें। संक्रमित बीज की जगह प्रमाणित रोगमुक्त सेट लगाना ही मुख्य कदम है, खासकर पेड़ी लेने से पहले।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Healthy_Leaves","Your sugarcane leaf appears healthy. No disease symptoms detected. Continue using healthy setts, balanced nutrition, proper irrigation, and routine field monitoring.","आपकी गन्ने की पत्ती स्वस्थ दिख रही है। रोग के कोई लक्षण नहीं मिले। स्वस्थ बीज-टुकड़े (सेट), संतुलित पोषण, सही सिंचाई और खेत की नियमित निगरानी जारी रखें।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Pokkah_Boeng","Pokkah Boeng causes chlorosis and twisting of top leaves with a 'knife-cut' appearance, worse in warm humid conditions. Grow resistant varieties, remove and destroy affected 'top rot' canes, and use disease-free setts. Spray carbendazim 0.1%, copper oxychloride 0.2%, or mancozeb 0.3% every 15 days; sett treatment with carbendazim before planting also helps — rotate with mancozeb to manage resistance.","पोक्का बोइंग में ऊपरी पत्तियाँ पीली पड़कर मुड़ जाती हैं और उन पर 'चाकू से कटे' जैसे निशान दिखते हैं; गर्म, नम मौसम में यह बढ़ता है। रोगरोधी किस्में उगाएँ, 'टॉप रॉट' से प्रभावित गन्ने निकालकर नष्ट करें और रोगमुक्त सेट लगाएँ। हर 15 दिन पर carbendazim 0.1%, copper oxychloride 0.2% या mancozeb 0.3% का छिड़काव करें; बुवाई से पहले carbendazim से सेट उपचार भी मदद करता है — प्रतिरोध से बचने के लिए mancozeb के साथ बारी-बारी से प्रयोग करें।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Sett_Rot","Sett rot enters through cut sett ends, rotting internal tissue with a characteristic pineapple smell, preventing bud germination. Use long, healthy setts with 3-4 buds, ensure good drainage, and select from disease-free fields. Soak setts in 0.05-0.1% carbendazim for about 15 minutes before planting — this pre-plant treatment is the decisive step.","बीज-टुकड़ा सड़न (अनानास रोग) कटे हुए सिरों से सेट में घुसकर अंदर का भाग सड़ा देती है, जिसमें अनानास जैसी खास गंध आती है और आँखें अंकुरित नहीं होतीं। 3-4 आँखों वाले लंबे, स्वस्थ सेट लें, पानी की अच्छी निकासी रखें और रोगमुक्त खेत से बीज चुनें। बुवाई से पहले सेट को 0.05-0.1% carbendazim में लगभग 15 मिनट डुबोकर रखें — बुवाई-पूर्व यह उपचार ही निर्णायक कदम है।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
"treatment_advice","sugarcane","Viral_Disease","Viral diseases like mosaic cause mottled light-and-dark patches on young leaves, spread through infected setts and aphids. There is no chemical cure — use virus-free/tissue-culture-derived setts, grow resistant varieties, and rogue out infected plants. Controlling aphid vectors helps, but clean seed and resistant varieties are the real solution.","मोज़ेक जैसे विषाणु रोगों में नई पत्तियों पर हल्के और गहरे हरे चितकबरे धब्बे बनते हैं; ये संक्रमित सेट और माहू (एफिड) से फैलते हैं। इसका कोई रासायनिक इलाज नहीं है — विषाणुमुक्त/ऊतक संवर्धन (टिशू कल्चर) से बने सेट लें, रोगरोधी किस्में उगाएँ और संक्रमित पौधे उखाड़ दें। माहू नियंत्रण मदद करता है, पर असली समाधान साफ़ बीज और रोगरोधी किस्में ही हैं।","Drafted in Hindi by Claude (AI) from treatmentMap.js on 2026-09-26; chemical names and doses copied unchanged","true","","",""
